text,created_at,retweet_count
"-hola si vengo a ver un aire chico tranqui para mi pieza

+ si obvio tengo este samsung con wifi que esta buenisimo a 119 lucas en 12 cuotas

Flaco vine en un 343 con la camiseta de boca transpirado y en chanclas, que te hace pensar que ese transformer con wifi esta a mi alcance",2022-01-14 13:55:00+00:00,0
RT @Ch_Enterprises: Te doy un Samsung Galaxy Mini Y ME ESTOY ARRIESGANDO 🤣 https://t.co/xlTuLyvvIQ,2022-01-14 13:54:08+00:00,2
Ahora tus noches se ven más épicas con el modo noche del nuevo #GalaxyS21FE https://t.co/pTURGhxYUf https://t.co/aRJFNJUn3N,2022-01-14 13:54:01+00:00,0
RT @LiceoCientifico: Estudiantes dominicanos fueron premiados como campeones regionales del concurso Solve for Tomorrow 2021 de Samsung Ele…,2022-01-14 13:53:36+00:00,2
"#7FATES_CHAKHO saldrá HOY a las 7pm EST 🔥❤

Esto saldrá en la app de Webtoon!

Google Play (Samsung): https://t.co/A36b38yim8",2022-01-14 13:53:11+00:00,0
"#7FATES_CHAKHO saldrá HOY a las 7pm EST 🔥❤

Aquí los horarios para LATAM y España:

14 de enero 

6:00PM 🇬🇹🇲🇽🇭🇳🇳🇮🇨🇷🇸🇻🇧🇿
7:00PM 🇵🇪🇨🇴🇵🇦🇪🇨
8:00PM 🇻🇪🇩🇴🇨🇺🇧🇴🇵🇷
9:00PM 🇧🇷🇺🇾🇦🇷🇨🇱🇵🇾

15 de enero 

2:00AM 🇪🇸 

Esto saldrá en la app de Webtoon!

Google Play (Samsung): 👇",2022-01-14 13:52:22+00:00,0
"jkaskjsakj le colgué 10 minutos una meet a Samsung y cuando llegué me dijeron ""tenemos meets con Alberto, con Macri y te tenemos que esperar a vos""",2022-01-14 13:51:38+00:00,0
"Me muero!!! 😭 
$30mil por el #S22Ultra 
¡Olvídenlo!

Samsung también aumentaría el precios de sus smartphones durante 2022: Así queda la tabla https://t.co/52drSsT8yH vía @unocero",2022-01-14 13:51:14+00:00,0
RT @isa_marcial: Cuéntanos tu experiencia con esta edición recortada del querido Note. https://t.co/86Kw5Y1MIS,2022-01-14 13:46:38+00:00,5
"@MTB___life Que equipo tenés? Hubiera jurado era Samsung.... meten apps propias por todos lados. Ahora a eso se suma Google...para mi gusto, metió muchas en el android 10/11",2022-01-14 13:46:19+00:00,0
"@irvinrios20 @ParamountPlusLA Entonces reciente reciente no es, ya que esa TV es de mi hermano y es marca Samsung, la tiene desde el año pasado. https://t.co/UpJEWKo6A1",2022-01-14 13:44:11+00:00,0
"@nicki_ceballos @jowifromdablock VOT SI a ese Samsung es un re caño, mi próximo movicom dentro de poquito 😬",2022-01-14 13:42:53+00:00,0
Samsung presenta primer sistema computacional con memoria no volátil MRAM y procesamiento interno (CPU) https://t.co/dih9KBipMh #ciberseguridad https://t.co/zpa9ebfZss,2022-01-14 13:42:48+00:00,0
"RT @clazeto: ¿Adivinen a dónde fui?
#FincaRocío Chocolates 
¡¡Deliciosos!! 👌🏾
Aquí les dejo la dirección por si quieren ir 👇🏾
https://t.co/…",2022-01-14 13:40:32+00:00,328
"@jowifromdablock Un Samsung S20 FE estaba entre este y un Google Pixel 4xl pero ese tenía que comprarlo por tienda mía, tardaba mucho y literal yo andaba sin teléfono",2022-01-14 13:40:21+00:00,0
"Danos la oportunidad de plasmar en tu Case la foto que más te gusta, manejamos todas las referencias de IPhone Samsung, Xiaomi entre otros.
Visitanos ⬇️⬇️
https://t.co/SOlvAOmITF https://t.co/rWLKrc7SNW https://t.co/1S5TXwojac",2022-01-14 13:39:26+00:00,0
Las memorias MRAM ya están aquí: Samsung construye el primer sistema con memorias que retienen información aunque se apague el dispositivo https://t.co/F5VQa50x9G https://t.co/RkZ8Nsf58T,2022-01-14 13:36:54+00:00,0
"@JORGDUARDOJESUS @verolist @mcfaby_l @rocionahle @alvaro_delgado @paezvarela Jajajaja Samsung , ICA Flour y Techint son los tres principales constratistas , donde están los mexicanos ?🤔😂😂😂por cierto hoy está bajo agua, porque no nos hablas de el impacto ambiental o de donde van a sacar el crudo ligero para esta? O de cómo van a recuperar la inversión?",2022-01-14 13:36:23+00:00,0
"@verolist @rocionahle @alvaro_delgado @paezvarela Por cierto un dato para que no creas todo lo que te dice la bola de ratas esos, 100% mexicana ?🤔😂😂😂 el principal contratista es Samsung y el segundo ICA-Flour 50/50 mexicano/Gringo y el tercero es Techint Ítalo/argentino así de mentirosos !!",2022-01-14 13:31:07+00:00,0
"Tiene muchos partners, la mayoría relacionados con el ecosistema DeFi.
Entre sus partners están: Polygon, Huobi ,SafePal y OpenDefi entre otros. Están trabajando para colaborar con Samsung y la Agencia Espacial.

Os dejo un link con los partners:
https://t.co/YtnRkbWl9Q (24/26) https://t.co/gefc54Zkx3",2022-01-14 13:30:32+00:00,0
"USB C Feminino Adaptador masculino (2 pack), tipo C Adaptador de cabos de carregador para iPhone 11 12 Pro Max, Airpods iPad, Samsung Galaxy Nota 10 S20 mais 20 S20 + 20 + Ultra, Google Pixel 5 4 4A 3 3 2 Xl. iphone 5 pro max
https://t.co/dJnQ4AGyAq",2022-01-14 13:25:50+00:00,0
"RT @ahorrobanco: Cuenta Sin Comisiones BBVA 
✅Sin comisiones por transferencia ni retirada
✅App BBVA con Bizum, Apple PAY y Samsung Pay 
Ab…",2022-01-14 13:23:01+00:00,3
"RT @SamsungMexico: Conoce más a fondo junto a @CharlyPi las características y funciones de The Freestyle, la Smart TV portátil.

Da clic aq…",2022-01-14 13:23:01+00:00,10
Otros 12 móviles Samsung reciben la actualización Android de enero de 2022 - Andro4all https://t.co/ESvuWXEFRP #Android,2022-01-14 13:22:29+00:00,0
"Oferta Samsung Galaxy S21 5G por sólo 625,10€ con envío gratis (-27%) ¡233€ de ahorro! https://t.co/pa3HbT7y9k",2022-01-14 13:20:03+00:00,0
RT @elhackernet: [Blog] Samsung presenta primer sistema computacional con memoria no volátil MRAM y procesamiento interno (CPU) https://t.c…,2022-01-14 13:19:59+00:00,2
Quiero el samsung que se dobla,2022-01-14 13:19:36+00:00,0
El nuevo Galaxy S21 FE viene cargado con las funciones favoritas de los fanáticos de Samsung https://t.co/WP0tUY491Y,2022-01-14 13:18:30+00:00,0
@ChavezErtugrul @NicolasMaduro Mano. Yo quiero que este peo acabe. Quiero que el presidente que venga se la lleve bien con todos. EEUU. Japón. Corea del Sur. Lo demás es chimbo. Mala calidad. Apple. Samsung. Toyota. Lg. O sea. Basta que ellos full y el pueblo mal. Mala leche el diablo.,2022-01-14 13:18:07+00:00,0
@m__casti La duura? A mi me ha funcionado rebien jaja venía chato de Samsung que no le duraba nada la batería,2022-01-14 13:16:47+00:00,0
RT @chalioDMX: Oye @liverpoolmexico  me van a hacer lo mismo  de cancelarme estas tablets de #Samsung  como le hicieron con la consola de #…,2022-01-14 13:16:42+00:00,1
Oye @liverpoolmexico  me van a hacer lo mismo  de cancelarme estas tablets de #Samsung  como le hicieron con la consola de #XboxSeriesX  edición #haloinfinite  ?? Para saber y mejor ir a que me regresen mi dinero https://t.co/OJzKY2p5VU,2022-01-14 13:15:36+00:00,1
"Samsung Galaxy S21 a precio de risa, Realme GT 2 Neo rebajadísimo y más ofertas: Cazando Gangas https://t.co/QliDpNN8n6",2022-01-14 13:13:06+00:00,0
RT @IncidenteCriti2: @JoignantAlfredo @fernando_atria @fernando_atria puedes recordarle al bolichero del Servel que su organismo por Ley de…,2022-01-14 13:12:32+00:00,3
