username,followers_count,verified
PlataformaMill1,6275,False
cenac_ipnmexico,65,False
CIC_IPN_OFICIAL,3694,False
alarshop,1,False
LaComparacion,110592,False
Enrique74486562,61,False
jisampedro,2148,False
julencin2000,65,False
ricardowec,6891,False
Ilorach,1469,False
patty_jab,235,False
DiarioTic2Cero,4992,False
StackAppES,13,False
Fundacion_ONCE,64140,True
alberto77259845,4,False
VuelveUnaKdelSu,108,False
gringodeboedo,3929,False
cuervo22l,3461,False
curseddevotion,606,False
MelinaVargas6,96,False
salvatorexito,20,False
adslzone,193614,True
CristoAtado,102405,False
aleprietom,643,False
ArquitectosVzla,5121,False
Oremburgo,142,False
heraldodemadri1,7,False
SamsungCO,282570,True
elespectador,5964016,True
eskobar71,1,False
Grafu74,25,False
m_praszelik,2100,False
EnriqueTrokko,24,False
SamsungEspana,313038,True
justLiz__,159,False
treasuremembers,2854142,True
josuegonzalezl7,10,False
TopesdGama,495309,True
waltpulido,2103,False
sarayhoyos_,1758,False
soledadtarquini,10426,False
heidi_maca,2839,False
AJ23ThemeMaster,1940,False
Appache_es,22,False
V3LL1CH0R,1140,False
Giz_Tab,24580,False
laguiadelchollo,468,False
AmazingMurdock,523,False
AshlaHeartfilia,3709,False
Jimakos13,707,False
Theta_Network,239185,True
NuevoRumbo5,66,False
dropnwine,1633,False
sebasrubio,11260,False
rollingOhamster,38,False
heli_gd,425,False
Marinaheor,390,False
CarnedeBantha,133,False
MINBINLOUVER,704,False
chollos_espana,1113,False
Antoniosuper112,51,False
TabascoHOY,291457,False
BobaFettVCF,1984,False
dearquitectos,105040,False
mrdmartinmartin,324,False
Aerosday79,103,False
UnElastiquero,520,False
_lorenita123,8466,False
sdanielagonzal6,4,False
rodrigosepu,465886,True
cazandocholloss,2451,False
Susysappietro,1910,False
musimundo,416459,True
Jose2AR,47,False
Kyboth_,157,False
Tecnogusblog,675,False
Ardillacuatica,145,False
Maria07340,32,False
yoigo,91020,True
DoctorGo_,436,False
13Chris95,683,False
MarvelMateo,398,False
SrtaGraceGomez,1314,False
alxlocrito,405,False
javikust,823,False
GiancaMeDicen,165,False
berlingonzalezs,3452,False
OscarLMedia,304,False
LourdesGavar,74,False
progremones,11413,False
Cometton09,965,False
IngLucho,3762,False
Alejand72974431,29,False
tdg_trekking,4470,False
faustogardeblog,97,False
Seerrrchh,354,False
anallinaresg,518,False
AndroidmaniaAZ,171,False
newwdawnfades,135,False
fermonvit,617,False
chollobot_es,8,False
iMRisotto,1545,False
MovilZona,77233,False
JandroHidalgo,10,False
arias_hoyo,930,False
ratonesydioses,106,False
Macarena_Olona,339075,True
Depaso7,2473,False
dcasamayor,672,False
Aznofgg,100,False
Kakashi45052305,603,False
FrikiGenES,3813,False
facunxcx,1508,False
DigitalTrendsEs,140576,True
TecnoLocura,20853,False
mentalwaveslab,0,False
ErichGarciaCruz,34734,True
MARCIANOPHONE,307681,True
Thebestone2022,122,False
brexiliada,1,False
vietloko,15,False
CamaradaComand2,123,False
Vietgal1,4947,False
KioskoMi,23,False
thepueyo,579,False
sr_woof,603,False
mybigblind,222,False
danieldiez,1594,False
univerecologico,185,False
ivanmc78,1439,False
JoseLeivaGutier,80,False
nadipinky_,354,False
vikingog,284,False
rickyalderete,19068,False
TigoParaguay,328307,True
PequeninWarrior,808,False
OfertitasDiaria,704,False
CERMI_Madrid,21319,False
EsquiCajaRural,628,False
Cajaruralgr,4612,False
eresviral,63,False
un_adragon,327,False
mexiliamp,244,False
agus_porte,2672,False
OfertasMakers,195,False
rodolfoht52,95,False
Aricris33Juan,35,False
AgusOca2020,6273,False
pabloduggan,182862,False
marinisam,1729,False
PepsiArgentina,51731,True
elestimulo,277180,True
sarga75,5350,False
PlataformaMill1,6275,False
cenac_ipnmexico,65,False
CIC_IPN_OFICIAL,3694,False
alarshop,1,False
LaComparacion,110592,False
Enrique74486562,61,False
jisampedro,2148,False
julencin2000,65,False
naturefrogg,49,False
exeerunner,29,False
Pfrette1,62,False
Soumastre,65409,False
gesteffa,2438,False
android_esp,24640,False
Mar_UXer,155,False
Zurribulle,527,False
_Florencianez,86,False
SomosOlimpia,43207,False
